Metric		Current
CONDITIONAL_COMPLEXITY_COMPONENT_RESOURCES_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_RESOURCES_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_RESOURCES_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_RESOURCES_VERY_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_RESOURCES_VERY_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_STORAGE_NEGLIGIBLE_RISK_LOC		9
CONDITIONAL_COMPLEXITY_COMPONENT_STORAGE_NEGLIGIBLE_RISK_PERCENTAGE		100
CONDITIONAL_COMPLEXITY_COMPONENT_STORAGE_NEGLIGIBLE_RISK_COUNT		3
CONDITIONAL_COMPLEXITY_COMPONENT_STORAGE_LOW_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_STORAGE_LOW_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_STORAGE_LOW_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_STORAGE_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_STORAGE_MEDIUM_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_STORAGE_MEDIUM_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_STORAGE_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_STORAGE_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_STORAGE_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_STORAGE_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_STORAGE_VERY_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_STORAGE_VERY_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_ROOT_NEGLIGIBLE_RISK_LOC		11
CONDITIONAL_COMPLEXITY_COMPONENT_ROOT_NEGLIGIBLE_RISK_PERCENTAGE		100
CONDITIONAL_COMPLEXITY_COMPONENT_ROOT_NEGLIGIBLE_RISK_COUNT		1
CONDITIONAL_COMPLEXITY_COMPONENT_ROOT_LOW_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_ROOT_LOW_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_ROOT_LOW_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_ROOT_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_ROOT_MEDIUM_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_ROOT_MEDIUM_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_ROOT_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_ROOT_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_ROOT_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_ROOT_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_ROOT_VERY_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_ROOT_VERY_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_PHP_NEGLIGIBLE_RISK_LOC		883
CONDITIONAL_COMPLEXITY_COMPONENT_PHP_NEGLIGIBLE_RISK_PERCENTAGE		96.08
CONDITIONAL_COMPLEXITY_COMPONENT_PHP_NEGLIGIBLE_RISK_COUNT		117
CONDITIONAL_COMPLEXITY_COMPONENT_PHP_LOW_RISK_LOC		36
CONDITIONAL_COMPLEXITY_COMPONENT_PHP_LOW_RISK_PERCENTAGE		3.92
CONDITIONAL_COMPLEXITY_COMPONENT_PHP_LOW_RISK_COUNT		1
CONDITIONAL_COMPLEXITY_COMPONENT_PHP_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_PHP_MEDIUM_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_PHP_MEDIUM_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_PHP_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_PHP_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_PHP_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_PHP_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_PHP_VERY_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_PHP_VERY_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_NEGLIGIBLE_RISK_LOC		3,782
CONDITIONAL_COMPLEXITY_COMPONENT_JS_NEGLIGIBLE_RISK_PERCENTAGE		53.54
CONDITIONAL_COMPLEXITY_COMPONENT_JS_NEGLIGIBLE_RISK_COUNT		444
CONDITIONAL_COMPLEXITY_COMPONENT_JS_LOW_RISK_LOC		2,111
CONDITIONAL_COMPLEXITY_COMPONENT_JS_LOW_RISK_PERCENTAGE		29.88
CONDITIONAL_COMPLEXITY_COMPONENT_JS_LOW_RISK_COUNT		84
CONDITIONAL_COMPLEXITY_COMPONENT_JS_MEDIUM_RISK_LOC		930
CONDITIONAL_COMPLEXITY_COMPONENT_JS_MEDIUM_RISK_PERCENTAGE		13.17
CONDITIONAL_COMPLEXITY_COMPONENT_JS_MEDIUM_RISK_COUNT		21
CONDITIONAL_COMPLEXITY_COMPONENT_JS_HIGH_RISK_LOC		241
CONDITIONAL_COMPLEXITY_COMPONENT_JS_HIGH_RISK_PERCENTAGE		3.41
CONDITIONAL_COMPLEXITY_COMPONENT_JS_HIGH_RISK_COUNT		3
CONDITIONAL_COMPLEXITY_COMPONENT_JS_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_VERY_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_VERY_HIGH_RISK_COUNT		0
DUPLICATION_NUMBER_OF_DUPLICATES		382
DUPLICATION_NUMBER_OF_FILES_WITH_DUPLICATES		88
DUPLICATION_NUMBER_OF_DUPLICATED_LINES		4,753
DUPLICATION_NUMBER_OF_CLEANED_LINES		17,968
DUPLICATION_PERCENTAGE		26.45
UNIT_DUPLICATES_COUNT		1
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_PRIMARY_RESOURCES		1,996
DUPLICATION_NUMBER_OF_CLEANED_LINES_PRIMARY_RESOURCES		1,996
DUPLICATION_PERCENTAGE_PRIMARY_RESOURCES		100
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_PRIMARY_STORAGE		1,832
DUPLICATION_NUMBER_OF_CLEANED_LINES_PRIMARY_STORAGE		1,832
DUPLICATION_PERCENTAGE_PRIMARY_STORAGE		100
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_PRIMARY_PUBLIC		828
DUPLICATION_NUMBER_OF_CLEANED_LINES_PRIMARY_PUBLIC		828
DUPLICATION_PERCENTAGE_PRIMARY_PUBLIC		100
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_PRIMARY_DATABASE		51
DUPLICATION_NUMBER_OF_CLEANED_LINES_PRIMARY_DATABASE		51
DUPLICATION_PERCENTAGE_PRIMARY_DATABASE		100
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_PRIMARY_CONFIG		46
DUPLICATION_NUMBER_OF_CLEANED_LINES_PRIMARY_CONFIG		46
DUPLICATION_PERCENTAGE_PRIMARY_CONFIG		100
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_PRIMARY_APP		0
DUPLICATION_NUMBER_OF_CLEANED_LINES_PRIMARY_APP		0
DUPLICATION_PERCENTAGE_PRIMARY_APP		-
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_PRIMARY_ROOT		0
DUPLICATION_NUMBER_OF_CLEANED_LINES_PRIMARY_ROOT		0
DUPLICATION_PERCENTAGE_PRIMARY_ROOT		-
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_PRIMARY_BOOTSTRAP		0
DUPLICATION_NUMBER_OF_CLEANED_LINES_PRIMARY_BOOTSTRAP		0
DUPLICATION_PERCENTAGE_PRIMARY_BOOTSTRAP		-
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_PRIMARY_ROUTES		0
DUPLICATION_NUMBER_OF_CLEANED_LINES_PRIMARY_ROUTES		0
DUPLICATION_PERCENTAGE_PRIMARY_ROUTES		-
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_PHP		3,925
DUPLICATION_NUMBER_OF_CLEANED_LINES_PHP		7,174
DUPLICATION_PERCENTAGE_PHP		54.71
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_LESS		170
DUPLICATION_NUMBER_OF_CLEANED_LINES_LESS		239
DUPLICATION_PERCENTAGE_LESS		71.13
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_SCSS		198
DUPLICATION_NUMBER_OF_CLEANED_LINES_SCSS		315
DUPLICATION_PERCENTAGE_SCSS		62.86
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_CSS		280
DUPLICATION_NUMBER_OF_CLEANED_LINES_CSS		2,653
DUPLICATION_PERCENTAGE_CSS		10.55
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_JS		180
DUPLICATION_NUMBER_OF_CLEANED_LINES_JS		7,029
DUPLICATION_PERCENTAGE_JS		2.56
TOTAL_ANALYSIS_TIME_IN_MILLIS		395,135
